geoid,category,age_bin,year,combined_count,ed_count,inp_count
34007600200,EB,18-64,2020,8,5,<5
34007600400,EB,18-64,2020,15,12,<5
34007600700,EB,18-64,2020,9,8,<5
34007600800,EB,18-64,2020,33,23,12
34007600900,EB,18-64,2020,11,11,<5
34007601000,EB,18-64,2020,9,7,<5
34007601101,EB,18-64,2020,8,8,<5
34007601102,EB,18-64,2020,19,12,7
34007601200,EB,18-64,2020,15,12,<5
34007601300,EB,18-64,2020,21,18,<5
34007601400,EB,18-64,2020,20,14,8
34007601500,EB,18-64,2020,26,23,8
34007601600,EB,18-64,2020,12,10,<5
34007601700,EB,18-64,2020,13,11,<5
34007601800,EB,18-64,2020,<5,<5,<5
34007601900,EB,18-64,2020,16,11,7
34007602000,EB,18-64,2020,25,20,8
34007602503,EB,18-64,2020,10,10,<5
34007602601,EB,18-64,2020,<5,<5,0
34007602602,EB,18-64,2020,7,6,<5
34007602901,EB,18-64,2020,9,5,6
34007602902,EB,18-64,2020,8,5,<5
34007603001,EB,18-64,2020,6,6,0
34007603002,EB,18-64,2020,10,8,<5
34007603100,EB,18-64,2020,9,7,<5
34007603200,EB,18-64,2020,8,8,<5
34007603301,EB,18-64,2020,20,17,<5
34007603302,EB,18-64,2020,6,<5,<5
34007603303,EB,18-64,2020,<5,<5,0
34007603400,EB,18-64,2020,9,8,<5
34007603501,EB,18-64,2020,<5,<5,0
34007603503,EB,18-64,2020,5,<5,<5
34007603504,EB,18-64,2020,<5,<5,0
34007603505,EB,18-64,2020,37,31,9
34007603506,EB,18-64,2020,5,<5,<5
34007603507,EB,18-64,2020,11,9,<5
34007603601,EB,18-64,2020,10,5,8
34007603602,EB,18-64,2020,<5,<5,<5
34007603603,EB,18-64,2020,<5,<5,<5
34007603700,EB,18-64,2020,15,14,<5
34007603800,EB,18-64,2020,<5,0,<5
34007603901,EB,18-64,2020,<5,<5,0
34007603902,EB,18-64,2020,<5,<5,<5
34007604100,EB,18-64,2020,5,<5,<5
34007604200,EB,18-64,2020,7,7,0
34007604300,EB,18-64,2020,<5,<5,0
34007604400,EB,18-64,2020,<5,<5,<5
34007604600,EB,18-64,2020,<5,<5,<5
34007604700,EB,18-64,2020,<5,<5,<5
34007605100,EB,18-64,2020,<5,<5,<5
34007605200,EB,18-64,2020,5,<5,<5
34007605300,EB,18-64,2020,<5,<5,0
34007605400,EB,18-64,2020,<5,<5,<5
34007605602,EB,18-64,2020,<5,<5,0
34007605700,EB,18-64,2020,5,<5,<5
34007605900,EB,18-64,2020,<5,0,<5
34007606000,EB,18-64,2020,<5,<5,<5
34007606200,EB,18-64,2020,<5,<5,0
